duration_ms_track,explicit,id_track,name_track,popularity,track,artist_ids,artist_names,album_id,album_name,album_release_date,album_release_date_precision,playlist_id,description_playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
202501,False,6ymVxYG0UHqIjXmclbE1cu,Waves (feat. Grace Tither),58,True,6zsJjoCtL1WByG0VsuFWzR | 0W2uPY2bPqyGxEYBJUuHfa,BLOND:ISH | Grace Tither,2IYPZalD9Rc91KERQfYIaf,Waves (feat. Grace Tither),2021-03-19,day,37i9dQZF1DX2TRYkJECvfC,"Forget it and disappear with chill <a href=""spotify:genre:edm_dance"">house</a>.",0.631,0.763,9,-9.774,0,0.0352,0.0824,0.299,0.0875,0.715,121.008,4
202501,False,6ymVxYG0UHqIjXmclbE1cu,Waves (feat. Grace Tither),58,True,6zsJjoCtL1WByG0VsuFWzR | 0W2uPY2bPqyGxEYBJUuHfa,BLOND:ISH | Grace Tither,2IYPZalD9Rc91KERQfYIaf,Waves (feat. Grace Tither),2021-03-19,day,6n7XGSMHS4Xhv0NWL88in9,"Dive deeper into the pool of timeless Deep House hits. Updated weekly with tracks from Regard, EDX, Alok, Tiësto and many more.",0.631,0.763,9,-9.774,0,0.0352,0.0824,0.299,0.0875,0.715,121.008,4
202501,False,6ymVxYG0UHqIjXmclbE1cu,Waves (feat. Grace Tither),58,True,6zsJjoCtL1WByG0VsuFWzR | 0W2uPY2bPqyGxEYBJUuHfa,BLOND:ISH | Grace Tither,2IYPZalD9Rc91KERQfYIaf,Waves (feat. Grace Tither),2021-03-19,day,1vIMNWoiysQgw4q13PErN4,"Updated weekly - the best Dance Music playlist. Summer 2021 | Chill House | Estate | Verano | Sommer | Zo | Beach Music | Ibiza  Follow our other playlists <a href=""https://open.spotify.com/playlist/4pEdh5xUCjoiOaI2o1HX34?si=p93DkSMDT2KsoBp3WHbBOA"">here</a>",0.631,0.763,9,-9.774,0,0.0352,0.0824,0.299,0.0875,0.715,121.008,4
372000,False,59sNwdjGBKTG1Z4cLu21mq,Just,53,True,3ifxHfYz2pqHku0bwx8H5J,Amtrac,2zbICvUWssh0CpwXbIrRWr,Just,2019-02-15,day,37i9dQZF1DX2TRYkJECvfC,"Forget it and disappear with chill <a href=""spotify:genre:edm_dance"">house</a>.",0.622,0.855,0,-7.563,1,0.0345,0.0498,0.824,0.0914,0.0395,120.002,4
385103,False,0ENV8cY0bwun9qSQkh195f,Discoteca,58,True,5mIowAJMp7RKNheelruV5z | 08jywfUS0hp8XYlYs0cvz8 | 2loEsOijJ6XiGzWYFXMIRk | 2P2BXSc0Wxpf10Fpno38rl,&ME | Rampa | Adam Port | Sofie,1ToY6vQm5b4DgOpdGHZjVZ,Discoteca,2021-03-26,day,37i9dQZF1DX2TRYkJECvfC,"Forget it and disappear with chill <a href=""spotify:genre:edm_dance"">house</a>.",0.772,0.485,11,-14.388,0,0.0611,0.000391,0.847,0.0913,0.156,120.0,4
211764,False,5JP4iOnbCRu7zfYd95oG7V,Peaceful Groove,24,True,2GE6MAdyGzeXpY9TwIYd3l,Teen Daze,4KNqp5ucheEGU8MgUD3Te0,Peaceful Groove,2020-09-18,day,37i9dQZF1DX2TRYkJECvfC,"Forget it and disappear with chill <a href=""spotify:genre:edm_dance"">house</a>.",0.652,0.632,11,-12.653,0,0.0415,0.91,0.901,0.114,0.702,102.023,4
188048,False,48dojgnBKfp3drKOFdwycc,It'll All Be Over - DJ Koze Remix - Radio Edit,54,True,5FIfw6s4iYUFu6tA3iIIOQ | 1kR99O4MgSTasyeJh8UFCg,Gerry Read | DJ Koze,0T4xFSNi3vOmlC4GUXPfIE,It'll All Be Over (DJ Koze Remix - Radio Edit),2019-04-19,day,37i9dQZF1DX2TRYkJECvfC,"Forget it and disappear with chill <a href=""spotify:genre:edm_dance"">house</a>.",0.707,0.788,0,-8.538,1,0.031,0.000126,0.517,0.118,0.594,123.023,4
188048,False,48dojgnBKfp3drKOFdwycc,It'll All Be Over - DJ Koze Remix - Radio Edit,54,True,5FIfw6s4iYUFu6tA3iIIOQ | 1kR99O4MgSTasyeJh8UFCg,Gerry Read | DJ Koze,0T4xFSNi3vOmlC4GUXPfIE,It'll All Be Over (DJ Koze Remix - Radio Edit),2019-04-19,day,57rLc4B0AUS2yKNwP9IMUr,"The best electronic, chill and <a href=""https://open.spotify.com/user/uoak/playlist/2KztSYn8YLdjiQ83NXeEHI?si=eDoLC5KVQaCcQ4KBbnhClA"">deep house</a> music. Chill Out | Relax | Vibes | Organica | Campfire | Summer | Verano | Lounge | Bar | Beach | Summer | Sunset | Cafe Del Mar | Ushuaia | Ibiza | Bali | Anjuna | Miami | California | Surf | Boarding | Los Angeles | London | Amsterdam | Travel - by <a href=""https://open.spotify.com/artist/4hYS3fIqfvtmZPbbggczYk"">UOAK</a>",0.707,0.788,0,-8.538,1,0.031,0.000126,0.517,0.118,0.594,123.023,4
349767,False,5NOroGtZSBsdCid7axlyXj,Boats,39,True,1w7cucUEPR1Yq9g03g6T8m,Xinobi,13zXBB7vZeWSmDvLOYjqQd,Boats,2021-04-09,day,37i9dQZF1DX2TRYkJECvfC,"Forget it and disappear with chill <a href=""spotify:genre:edm_dance"">house</a>.",0.719,0.743,10,-10.421,0,0.0345,0.166,0.962,0.123,0.35,121.998,4
401062,False,3HG0bL6apxDTfjijRapnI2,Turning My Head,58,True,0f14r70OISSfJoyqYaHbgV,Anja Schneider,7rRwW48AX1FwDvBl8Oalap,Turning My Head,2021-01-08,day,37i9dQZF1DX2TRYkJECvfC,"Forget it and disappear with chill <a href=""spotify:genre:edm_dance"">house</a>.",0.724,0.698,2,-11.161,1,0.0541,0.0251,0.833,0.0968,0.238,124.013,4
401062,False,3HG0bL6apxDTfjijRapnI2,Turning My Head,58,True,0f14r70OISSfJoyqYaHbgV,Anja Schneider,7rRwW48AX1FwDvBl8Oalap,Turning My Head,2021-01-08,day,37i9dQZF1DX5xiztvBdlUf,"Deep, not derp. Just groovin' house music to make you feel good",0.724,0.698,2,-11.161,1,0.0541,0.0251,0.833,0.0968,0.238,124.013,4
346586,False,4WyhOKXtCkNVcgfTBpYaxm,Ronda,61,True,3tSvlEzeDnVbQJBTkIA6nO,Christian Löffler,7APlMJ7deciAoJCir8eSOz,Ronda,2020-10-22,day,37i9dQZF1DX2TRYkJECvfC,"Forget it and disappear with chill <a href=""spotify:genre:edm_dance"">house</a>.",0.794,0.307,3,-15.629,0,0.0486,0.674,0.935,0.0954,0.171,119.994,4
170181,False,4uQulCB1pHX0i3dppzZ1PQ,Stop That Man,28,True,7BPFKaQl9MDa4rmv9QZh5L,FootRocket,2XFXFozuoCAtegfasbZezP,Stop That Man,2019-03-01,day,37i9dQZF1DX2TRYkJECvfC,"Forget it and disappear with chill <a href=""spotify:genre:edm_dance"">house</a>.",0.757,0.822,6,-6.574,1,0.0431,0.0441,0.768,0.176,0.692,110.002,4
412257,False,7KU1k3MVP8eFj81U3L85i8,Mars 500,56,True,0W8ZVf53GqJkTOPRWQaaBq,Chloé,7lfXilxttazWRwNcThahfc,Mars 500,2021-01-22,day,37i9dQZF1DX2TRYkJECvfC,"Forget it and disappear with chill <a href=""spotify:genre:edm_dance"">house</a>.",0.756,0.676,11,-13.684,0,0.0459,0.0111,0.907,0.0987,0.0883,123.007,4
350163,False,4gx9edHLyQtb69ibMUyTxJ,Atlas,0,True,27gtK7m9vYwCyJ04zz0kIb,Lane 8,6snYAeR3hklBu7LpvyQ3LR,Little by Little,2018-01-19,day,37i9dQZF1DX2TRYkJECvfC,"Forget it and disappear with chill <a href=""spotify:genre:edm_dance"">house</a>.",0.641,0.563,6,-10.532,1,0.0566,0.296,0.924,0.122,0.171,122.001,5
